Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Rhein-Erft-Kreis,5362,LK,Nordrhein-Westfalen,20.351526364477333,45.328399629972246,34.22756706753006,0.09250693802035154,54.322429906542055,45.44392523364486,0.23364485981308408,6.66049953746531
LK Rhein-Hunsrück-Kreis,7140,LK,Rheinland-Pfalz,17.791411042944784,50.920245398773,31.28834355828221,0.0,50.71428571428571,49.28571428571429,0.0,3.6809815950920246
LK Rhein-Kreis Neuss,5162,LK,Nordrhein-Westfalen,21.958456973293767,47.32937685459941,30.56379821958457,0.1483679525222552,49.18918918918919,50.810810810810814,0.0,2.8189910979228485
LK Rhein-Lahn-Kreis,7141,LK,Rheinland-Pfalz,21.518987341772153,46.20253164556962,31.0126582278481,1.2658227848101267,51.31578947368421,48.68421052631579,0.0,3.79746835443038
LK Rhein-Neckar-Kreis,8226,LK,Baden-Württemberg,27.176220806794056,43.63057324840764,29.1932059447983,0.0,50.06226650062266,49.93773349937734,0.0,3.9278131634819533
LK Rhein-Pfalz-Kreis,7338,LK,Rheinland-Pfalz,28.26086956521739,47.391304347826086,23.91304347826087,0.43478260869565216,53.36538461538461,46.63461538461539,0.0,2.1739130434782608
LK Rhein-Sieg-Kreis,5382,LK,Nordrhein-Westfalen,30.007230657989876,41.28705712219812,28.488792480115688,0.21691973969631237,51.84804928131417,47.74127310061601,0.41067761806981523,3.470715835140998
LK Rheingau-Taunus-Kreis,6439,LK,Hessen,27.350427350427353,49.14529914529914,23.504273504273502,0.0,48.8479262672811,51.1520737327189,0.0,2.1367521367521367
LK Rheinisch-Bergischer Kreis,5378,LK,Nordrhein-Westfalen,21.908893709327547,48.590021691973966,29.50108459869848,0.0,52.18446601941748,47.81553398058252,0.0,4.121475054229935
LK Rhön-Grabfeld,9673,LK,Bayern,35.9375,38.02083333333333,26.041666666666668,0.0,50.0,49.45054945054945,0.5494505494505495,3.125
LK Rosenheim,9187,LK,Bayern,26.374608851139918,38.980777827447476,34.644613321412606,0.0,53.02061122956645,46.979388770433545,0.0,7.957085382208315
LK Rostock,13072,LK,Mecklenburg-Vorpommern,30.666666666666664,49.333333333333336,20.0,0.0,46.666666666666664,53.333333333333336,0.0,4.0
LK Rotenburg (Wümme),3357,LK,Niedersachsen,26.605504587155966,52.293577981651374,21.100917431192663,0.0,45.19230769230769,54.807692307692314,0.0,0.9174311926605505
LK Roth,9576,LK,Bayern,31.4878892733564,43.944636678200695,24.567474048442904,0.0,53.74449339207048,46.25550660792951,0.0,2.422145328719723
LK Rottal-Inn,9277,LK,Bayern,20.98765432098765,43.895747599451305,35.11659807956104,0.0,55.1219512195122,44.87804878048781,0.0,6.035665294924554
LK Rottweil,8325,LK,Baden-Württemberg,29.1044776119403,42.98507462686567,27.761194029850746,0.1492537313432836,50.252951096121414,49.57841483979764,0.16863406408094433,3.731343283582089
LK Saale-Holzland-Kreis,16074,LK,Thüringen,26.08695652173913,43.47826086956522,30.434782608695656,0.0,54.09836065573771,45.90163934426229,0.0,4.3478260869565215
LK Saale-Orla-Kreis,16075,LK,Thüringen,16.083916083916083,37.06293706293706,46.85314685314685,0.0,62.7906976744186,37.2093023255814,0.0,8.391608391608392
LK Saalekreis,15088,LK,Sachsen-Anhalt,19.68503937007874,48.031496062992126,32.28346456692913,0.0,48.333333333333336,51.66666666666667,0.0,5.511811023622047
LK Saalfeld-Rudolstadt,16073,LK,Thüringen,18.84057971014493,44.927536231884055,36.231884057971016,0.0,50.0,50.0,0.0,0.0
LK Saar-Pfalz-Kreis,10045,LK,Saarland,28.474576271186443,45.76271186440678,25.76271186440678,0.0,49.42965779467681,50.57034220532319,0.0,5.084745762711865
LK Saarlouis,10044,LK,Saarland,29.05027932960894,40.78212290502793,30.16759776536313,0.0,53.44827586206896,46.33620689655172,0.21551724137931033,4.283054003724395
LK Salzlandkreis,15089,LK,Sachsen-Anhalt,16.417910447761194,46.26865671641791,37.3134328358209,0.0,49.2063492063492,50.79365079365079,0.0,0.0
LK Sankt Wendel,10046,LK,Saarland,26.666666666666668,52.121212121212125,21.21212121212121,0.0,51.03448275862069,48.96551724137931,0.0,3.0303030303030303
LK Schaumburg,3257,LK,Niedersachsen,19.375,51.87500000000001,28.749999999999996,0.0,50.0,49.35064935064935,0.6493506493506493,5.0
LK Schleswig-Flensburg,1059,LK,Schleswig-Holstein,24.324324324324326,41.21621621621622,34.45945945945946,0.0,57.03703703703704,42.96296296296296,0.0,2.027027027027027
LK Schmalkalden-Meiningen,16066,LK,Thüringen,26.446280991735538,47.107438016528924,26.446280991735538,0.0,52.17391304347826,47.82608695652174,0.0,2.479338842975207
LK Schwalm-Eder-Kreis,6634,LK,Hessen,24.5136186770428,41.82879377431907,33.65758754863813,0.0,53.24074074074075,46.75925925925926,0.0,6.031128404669261
LK Schwandorf,9376,LK,Bayern,24.64065708418891,43.53182751540041,31.82751540041068,0.0,52.757793764988016,47.00239808153477,0.2398081534772182,3.285420944558522
LK Schwarzwald-Baar-Kreis,8326,LK,Baden-Württemberg,24.90842490842491,42.30769230769231,32.78388278388278,0.0,52.0242914979757,47.97570850202429,0.0,4.5787545787545785
